GEMEENTENAAM VESTIGING;ADRES PLAATS;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;TITELGEMEENTEN;ADRES-naam;ADRES;ADRES_STRAAT;ADRES-NR;ADRES_PC;ADRES PLAATS;DENOMINATIE
REIMERSWAAL;KRABBENDIJKE;03JY06;Calvijn College, Appelstraat;REIMERSWAAL;Calvijn College voor Reformatorisch Vmbo Havo Vwo;Appelstraat 4, 4413 ET KRABBENDIJKE;Appelstraat;4;4413 ET;KRABBENDIJKE;Reformatorisch
RENKUM;DOORWERTH;02SY00;Dorenweerd College;RENKUM;Scholengemeenschap voor Vwo Dorenweerd College;Dalweg 5, 6865 CZ DOORWERTH;Dalweg;5;6865 CZ;DOORWERTH;Samenwerking PC, RK, Alg. Bijz
RHEDEN;DIEREN;02VN01;Het Rhedens;RHEDEN;Regionale Scholengemeenschap Het Rhedens voor Lyceum Havo Mavo Vbo;Doesburgsedijk 7, 6953 AK DIEREN;Doesburgsedijk;7;6953 AK;DIEREN;Algemeen bijzonder
RHEDEN;VELP GLD;07PK07;Arentheem College;RHEDEN;Arentheem College Interconfessionele School voor Atheneum Gymnasium Havo Vmbo;Reigerstraat 25, 6883 ER VELP GLD;Reigerstraat;25;6883 ER;VELP GLD;Samenwerking PC, RK
RHEDEN;VELP GLD;25GV10;AOC Groenhorst;RHEDEN;Agrarisch Opleidingen Centrum Groenhorst;Pinkenbergseweg 5-F, 6881 BA VELP GLD;Pinkenbergseweg;5-F;6881 BA;VELP GLD;Samenwerking PC, RK
RHENEN;RHENEN;16YV02;Pantarijn SGM;RHENEN;Regionale Scholengemeenschap Pantarijn voor Lyc Havo Mavo Vbo Pro Lwoo;Nieuwe Veenendaalseweg 137, 3911 MG RHENEN;Nieuwe Veenendaalseweg;137;3911 MG;RHENEN;Openbaar
RHENEN;RHENEN;19IP01;Rembrandt College;RHENEN;Rembrandt College Openbare Scholengemeenschap voor Mavo Havo Ath;Mispel 11, 3911 NW RHENEN;Mispel;11;3911 NW;RHENEN;Openbaar
RIDDERKERK;RIDDERKERK;18TR00;Gemini College;RIDDERKERK;Onderwijsgr. Zuid-Hollandse Waarden gymnasium, atheneum, havo, mavo, vmbo, lwoo;Reijerweg 249, 2983 AS RIDDERKERK;Reijerweg;249;2983 AS;RIDDERKERK;Openbaar
RIDDERKERK;RIDDERKERK;20AM00;Farelcollege;RIDDERKERK;Farelcollege Christelijke Scholengemeenschap voor atheneum havo mavo vmbo;Kastanjelaan 50, 2982 CM RIDDERKERK;Kastanjelaan;50;2982 CM;RIDDERKERK;Protestants-Christelijk
RIJSSEN-HOLTEN;RIJSSEN;01RL01;Jacobus Fruijtier SGM;RIJSSEN-HOLTEN;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;De Stroekeld 142, 7463 CA RIJSSEN;De Stroekeld;142;7463 CA;RIJSSEN;Reformatorisch
RIJSSEN-HOLTEN;RIJSSEN;02EK02;Pius X College;RIJSSEN-HOLTEN;Pius X College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Graaf Ottostraat 48, 7461 CW RIJSSEN;Graaf Ottostraat;48;7461 CW;RIJSSEN;Rooms-Katholiek
RIJSSEN-HOLTEN;RIJSSEN;02XJ02;Chr SGM Reggesteijn;RIJSSEN-HOLTEN;Reggesteijn Christelijke Scholengemeenschap voor Pro-Vmbo-Havo-Atheneum-Gymnasiu;Cattelaar 2, 7461 PK RIJSSEN;Cattelaar;2;7461 PK;RIJSSEN;Protestants-Christelijk
RIJSSEN-HOLTEN;HOLTEN;19FF00;SGM De Waerdenborch;RIJSSEN-HOLTEN;De Waerdenborch Scholengemeenschap voor Atheneum Havo Mavo Vbo;Haarstraat 14, 7451 CZ HOLTEN;Haarstraat;14;7451 CZ;HOLTEN;Openbaar
RIJSWIJK;RIJSWIJK ZH;00TU01;Geref SGM Randstad;RIJSWIJK;Gereformeerde Scholengemeenschap Randstad Gymnasium Atheneum HAVO VMBO;Trompetstraat 5, 2287 TK RIJSWIJK ZH;Trompetstraat;5;2287 TK;RIJSWIJK ZH;Gereformeerd
RIJSWIJK;RIJSWIJK ZH;02DZ06;Sint Stanislascollege;RIJSWIJK;St Stanislascoll RK SGM v Lyc Havo Mavo Vbo Lwoo;P.C. Boutenslaan 203, 2283 EZ RIJSWIJK ZH;P.C. Boutenslaan;203;2283 EZ;RIJSWIJK ZH;Rooms-Katholiek
RIJSWIJK;RIJSWIJK ZH;20CQ00;Rijswijks Lyceum;RIJSWIJK;Atlas Onderwijsgroep voor gymnasium, atheneum, havo, vmbo;Karmozijnstraat 2, 2284 GA RIJSWIJK ZH;Karmozijnstraat;2;2284 GA;RIJSWIJK ZH;Openbaar
RIJSWIJK;RIJSWIJK ZH;20CQ04;van Vredenburch College;RIJSWIJK;Atlas Onderwijsgroep voor gymnasium, atheneum, havo, vmbo;Van Vredenburchweg 425, 2284 TA RIJSWIJK ZH;Van Vredenburchweg;425;2284 TA;RIJSWIJK ZH;Openbaar
ROOSENDAAL;ROOSENDAAL;19EN00;Jan Tinbergen College;ROOSENDAAL;Jan Tinbergen College Openbare Scholengemeenschap voor Ath Havo Mavo;Burg Schneiderlaan 2, 4706 EZ ROOSENDAAL;Burg Schneiderlaan;2;4706 EZ;ROOSENDAAL;Openbaar
ROOSENDAAL;ROOSENDAAL;20ZK00;Davinci College;ROOSENDAAL;OMO sg Tongerlo voor LYC HAVO VMBO LWOO PRO;Bovendonk 1, 4707 ZH ROOSENDAAL;Bovendonk;1;4707 ZH;ROOSENDAAL;Rooms-Katholiek
ROOSENDAAL;ROOSENDAAL;20ZK02;Gertrudiscollege;ROOSENDAAL;OMO SG Tongerlo voor LYC HAVO VMBO LWOO PRO;Bovendonk 115, 4707 ZH ROOSENDAAL;Bovendonk;115;4707 ZH;ROOSENDAAL;Rooms-Katholiek
ROOSENDAAL;ROOSENDAAL;20ZK04;Norbertuscollege;ROOSENDAAL;OMO sg Tongerlo voor LYC HAVO MAVO VMBO LWOO PRO;Lyceumlaan 10, 4702 XG ROOSENDAAL;Lyceumlaan;10;4702 XG;ROOSENDAAL;Rooms-Katholiek
ROOSENDAAL;ROOSENDAAL;20ZK11;Gertrudiscollege Vincentius;ROOSENDAAL;OMO sg Tongerlo voor LYC HAVO VMBO LWOO PRO;Vincentiusstraat 53, 4701 LN ROOSENDAAL;Vincentiusstraat;53;4701 LN;ROOSENDAAL;Rooms-Katholiek
ROTTERDAM;ROTTERDAM;00PG00;Guido de Brès;ROTTERDAM;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Smeetslandseweg 127, 3079 CR ROTTERDAM;Smeetslandseweg;127;3079 CR;ROTTERDAM;Reformatorisch
ROTTERDAM;ROTTERDAM;00PG02;De Swaef;ROTTERDAM;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Carnissesingel 20, 3084 NA ROTTERDAM;Carnissesingel;20;3084 NA;ROTTERDAM;Reformatorisch
ROTTERDAM;ROTTERDAM;00PG03;Revius;ROTTERDAM;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;President Rooseveltweg 11, 3068 TR ROTTERDAM;President Rooseveltweg;11;3068 TR;ROTTERDAM;Reformatorisch
ROTTERDAM;ROTTERDAM;00TU00;Geref SGM Randstad;ROTTERDAM;Gereformeerde Scholengemeenschap Randstad Gymnasium Atheneum HAVO VMBO;Valenciadreef 15, 3067 WL ROTTERDAM;Valenciadreef;15;3067 WL;ROTTERDAM;Gereformeerd
ROTTERDAM;ROTTERDAM;01OE02;Wellantcollege;ROTTERDAM;Wellantcollege;Bosdreef 111, 3062 CA ROTTERDAM;Bosdreef;111;3062 CA;ROTTERDAM;Algemeen bijzonder
ROTTERDAM;ROTTERDAM;02GS00;Montessori Lyceum Rotterdam;ROTTERDAM;Scholengemeenschap Montessori Lyceum Rotterdam voor Gymnasium Atheneum en Havo;Schimmelpenninckstraat 17, 3039 KS ROTTERDAM;Schimmelpenninckstraat;17;3039 KS;ROTTERDAM;Algemeen bijzonder
ROTTERDAM;ROTTERDAM;02LB00;Vakcollege de Hef;ROTTERDAM;Openbare Scholengemeenschap Nieuw Zuid voor Lyceum Havo Mavo Vbo Lwoo;Slaghekstraat 221, 3074 LJ ROTTERDAM;Slaghekstraat;221;3074 LJ;ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;02LB08;osg Hugo de Groot;ROTTERDAM;Openbare Scholengemeenschap Nieuw Zuid voor Lyceum Havo Mavo Vbo en Lwoo;Nachtegaalplein 55, 3082 NK ROTTERDAM;Nachtegaalplein;55;3082 NK;ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;02UG00;Laurens Lyceum;ROTTERDAM;Laurens Lyceum voor Vwo en Havo;Voorhout 100, 3055 ES ROTTERDAM;Voorhout;100;3055 ES;ROTTERDAM;Rooms-Katholiek
ROTTERDAM;ROTTERDAM;02VG00;Theater havo/vwo;ROTTERDAM;Unie Noord;Pieter de Hoochstraat 29, 3024 CP ROTTERDAM;Pieter de Hoochstraat;29;3024 CP;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;02VG03;Havo muziek en dans;ROTTERDAM;Unie Noord- Havo voor Muziek en Dans;Kruisplein 26, 3012 CC ROTTERDAM;Kruisplein;26;3012 CC;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;02VG04;Lucia Petrus MAVO;ROTTERDAM;Unie Noord- locatie Lucia Petrus MAVO;Stationssingel 70, 3033 HJ ROTTERDAM;Stationssingel;70;3033 HJ;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;02VG05;G.K.H.;ROTTERDAM;Unie Noord- locatie Gijsbert Karel van Hogendorp;Mathenesserdijk 455, 3026 GH ROTTERDAM;Mathenesserdijk;455;3026 GH;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;02VG08;Carré College;ROTTERDAM;Unie Noord- locatie Carré College;Beukelsdijk 145, 3022 DC ROTTERDAM;Beukelsdijk;145;3022 DC;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;02VG11;Horeca Vakschool;ROTTERDAM;Unie Noord- locatie Horeca Vakschool Rotterdam;Noordsingel 72, 3032 BG ROTTERDAM;Noordsingel;72;3032 BG;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;02VG14;Hildegardis;ROTTERDAM;Unie Noord- locatie Hildegardis MAVO;Walenburgerweg 35, 3039 AC ROTTERDAM;Walenburgerweg;35;3039 AC;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;02VG15;De Toorop;ROTTERDAM;Unie Noord- locatie De Toorop MAVO;Tooroplaan 8, 3055 VG ROTTERDAM;Tooroplaan;8;3055 VG;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;02VG17;MAVO Delfshaven;ROTTERDAM;Unie Noord- MAVO Delfshaven;Westzeedijk 497, 3024 EL ROTTERDAM;Westzeedijk;497;3024 EL;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;02VG22;Cosmicus College;ROTTERDAM;Unie Noord- locatie Cosmicus College;Witte Hertstraat 1, 3061 CT ROTTERDAM;Witte Hertstraat;1;3061 CT;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;02VG25;Noordrand College;ROTTERDAM;Unie Noord - locatie Noordrand College;Hazelaarweg 50, 3053 PM ROTTERDAM;Hazelaarweg;50;3053 PM;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;05EA00;Scheepvaart en Transport College;ROTTERDAM;Scheepvaart en Transport College;Lloydstraat 300, 3024 EA ROTTERDAM;Lloydstraat;300;3024 EA;ROTTERDAM;Algemeen bijzonder
ROTTERDAM;ROTTERDAM;05XJ00;Het Lyceum Rotterdam;ROTTERDAM;Het Lyceum Rotterdam voor Vwo en Havo;Beukelsdijk 91, 3021 AE ROTTERDAM;Beukelsdijk;91;3021 AE;ROTTERDAM;Rooms-Katholiek
ROTTERDAM;ROTTERDAM;08CU00;Emmauscollege;ROTTERDAM;Emmauscollege Rooms Katholieke Scholengemeenschap voor Vwo en Havo;Alexandriestraat 40, 3067 MR ROTTERDAM;Alexandriestraat;40;3067 MR;ROTTERDAM;Rooms-Katholiek
ROTTERDAM;ROTTERDAM;14QT00;Marnix Gymnasium;ROTTERDAM;Marnix Gymnasium;Essenburgsingel 58, 3022 EA ROTTERDAM;Essenburgsingel;58;3022 EA;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;15EO00;OSG Libanon Lyceum;ROTTERDAM;Openbare Scholengemeenschap Libanon Lyceum voor VWO HAVO MAVO;Ramlehweg 6, 3061 JX ROTTERDAM;Ramlehweg;6;3061 JX;ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;15HX00;Thorbecke Prinsenlaan;ROTTERDAM;Thorbecke Voortgezet Onderwijs voor Atheneum Havo Mavo Vbo Lwoo;Prinsenlaan 82, 3066 KA ROTTERDAM;Prinsenlaan;82;3066 KA;ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;15HX02;Thorbecke vmbo mavo;ROTTERDAM;Thorbecke Voortgezet Onderwijs voor Atheneum Havo Mavo Vbo Lwoo;Tattistraat 13, 3066 CE ROTTERDAM;Tattistraat;13;3066 CE;ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;15HX07;Thorbecke Merkelbackstr;ROTTERDAM;Thorbecke Voortgezet Onderwijs voor Atheneum Havo Mavo Vbo Lwoo;Merkelbachstraat 6-8, 3067 AL ROTTERDAM;Merkelbachstraat;6-8;3067 AL;ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;15KR00;Wolfert havo/vwo;ROTTERDAM;Wolfert van Borselen scholengroep;Bentincklaan 280, 3039 KK ROTTERDAM;Bentincklaan;280;3039 KK;ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;15KR05;Wolfert Dalton ;ROTTERDAM;Wolfert van Borselen Scholengroep;Argonautenweg 55, 3054 RP ROTTERDAM;Argonautenweg;55;3054 RP;ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;15KR10;Wolfert College;ROTTERDAM;Wolfert van Borselen Scholengroep;Walenburgerweg 130, 3033 AK ROTTERDAM;Walenburgerweg;130;3033 AK;ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;15SC00;Erasmianum Gem Gymnasium;ROTTERDAM;Erasmianum Gemeente Gymnasium;Wytemaweg 25, 3015 CN ROTTERDAM;Wytemaweg;25;3015 CN;ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;16PK00;Calvijn Vreewijk;ROTTERDAM;Calvijn Chr. SGM voor vwo havo mavo vmbo lwoo;Grift 30, 3075 SB ROTTERDAM;Grift;30;3075 SB;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;16PK05;Calvijn Lombardijen;ROTTERDAM;Calvijn Chr. SGM voor vwo havo mavo vmbo lwoo. loc. Lombardijen;Fichtestraat 3, 3076 RA ROTTERDAM;Fichtestraat;3;3076 RA;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;16PK07;Calvijn Juliana;ROTTERDAM;Calvijn Chr. SGM voor vwo havo mavo vmbo lwoo, loc. Juliana;Talingstraat 6, 3082 MH ROTTERDAM;Talingstraat;6;3082 MH;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;16PK08;Calvijn Meerpaal;ROTTERDAM;Calvijn Chr. SGM voor vwo havo mavo vmbo lwoo, loc. Meerpaal;Kreeftstraat 44, 3067 JV ROTTERDAM;Kreeftstraat;44;3067 JV;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;16PK10;Calvijn Maarten Luther;ROTTERDAM;Calvijn Chr. SGM voor vwo havo mavo vmbo lwoo, loc. Maarten Luther;Roerdomplaan 42, 3084 NM ROTTERDAM;Roerdomplaan;42;3084 NM;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;16TV01;Rudolf Steiner College;ROTTERDAM;Vrije School Zuid-Holland voor Atheneum Havo Mavo;Tamboerstraat 9, 3034 PT ROTTERDAM;Tamboerstraat;9;3034 PT;ROTTERDAM;Antroposofisch
ROTTERDAM;HOOGVLIET ROTTERDAM;17CR00;Einstein Lyceum;ROTTERDAM;Einstein Lyceum Openbare Scholengemeenschap voor Mavo Havo Ath Gymn;Campusplein 18, 3192 CD HOOGVLIET ROTTERDAM;Campusplein;18;3192 CD;HOOGVLIET ROTTERDAM;Openbaar
ROTTERDAM;ROTTERDAM;17KY00;Roncalli MAVO;ROTTERDAM;Roncalli MAVO;Tattistraat 3, 3066 CE ROTTERDAM;Tattistraat;3;3066 CE;ROTTERDAM;Rooms-Katholiek
ROTTERDAM;ROTTERDAM;17YF00;Zuiderpark College;ROTTERDAM;Zuiderpark College voor Mavo Vbo en Lwoo;Montessoriweg 26, 3083 AN ROTTERDAM;Montessoriweg;26;3083 AN;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;17YF02;De Waal, YBS;ROTTERDAM;Zuiderpark College locatie De Waal;Maashavenweg 14, 3072 AZ ROTTERDAM;Maashavenweg;14;3072 AZ;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;18CH00;Melanchthon;ROTTERDAM;Melanchthon Chr. SGM voor gymnasium atheneum havo vmbo;Van Bijnkershoekweg 97, 3052 PB ROTTERDAM;Van Bijnkershoekweg;97;3052 PB;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;18CH02;Melanchthon Wilgenplaslaan;ROTTERDAM;Melanchthon Chr. SGM voor gymnasium atheneum havo vmbo, loc. Wilgenplaslaan;Wilgenplaslaan 194, 3052 SL ROTTERDAM;Wilgenplaslaan;194;3052 SL;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;18CH03;Melanchthon Mavo Schiebroek;ROTTERDAM;Melanchthon Chr. SGM voor gymnasium atheneum havo vmbo, loc. Mavo Schiebroek;Molenvijver 19, 3052 HA ROTTERDAM;Molenvijver;19;3052 HA;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;18CH09;Melanchthon Kralingen;ROTTERDAM;Melanchthon Chr. SGM voor gymnasium atheneum havo vmbo, loc. Kralingen;Oudedijk 75, 3062 AD ROTTERDAM;Oudedijk;75;3062 AD;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;18CH10;Melanchthon Mathenesse;ROTTERDAM;Melanchthon Chr. SGM voor gymnasium atheneum havo vmbo, loc. Mathenesse;Spaanseweg 101, 3028 HW ROTTERDAM;Spaanseweg;101;3028 HW;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;19GY05;Comenius College Rotterdam;ROTTERDAM;Comenius College Chr. SGM voor vwo havo vmbo lwoo, loc. Rotterdam;Kromhoutstraat 1-7, 3067 AE ROTTERDAM;Kromhoutstraat;1-7;3067 AE;ROTTERDAM;Protestants-Christelijk
ROTTERDAM;HOOGVLIET ROTTERDAM;20FR04;PENTA Hoogvliet;ROTTERDAM;PENTA college Chr. SGM voor gym ath havo mavo vmbo lwoo, loc. Hoogvliet;Elritsstraat 11, 3192 CE HOOGVLIET ROTTERDAM;Elritsstraat;11;3192 CE;HOOGVLIET ROTTERDAM;Protestants-Christelijk
ROTTERDAM;ROZENBURG ZH;20FR07;PENTA Godfried Richter;ROTTERDAM;PENTA college Chr. SGM voor gym ath havo mavo vmbo lwoo, loc. Godfried Richter;Sparregat 1, 3181 AZ ROZENBURG ZH;Sparregat;1;3181 AZ;ROZENBURG ZH;Protestants-Christelijk
ROTTERDAM;ROTTERDAM;23JA01;Grafisch Lyceum R'dam;ROTTERDAM;Grafisch Lyceum Rotterdam voor Mbo Bbo Mavo Vbo;Stadhoudersplein 35, 3039 ER ROTTERDAM;Stadhoudersplein;35;3039 ER;ROTTERDAM;Algemeen bijzonder
ROTTERDAM;ROTTERDAM;23YU00;Nova College;ROTTERDAM;Nova College;Veenoord 15, 3079 NH ROTTERDAM;Veenoord;15;3079 NH;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;23YU01;Slinge;ROTTERDAM;Nova College - locatie Slinge;Beumershoek 3, 3085 EA ROTTERDAM;Beumershoek;3;3085 EA;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;23YU02;Montfort College;ROTTERDAM;Nova College - locatie Montfort College;Montessoriweg 55, 3083 AN ROTTERDAM;Montessoriweg;55;3083 AN;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;23YU08;Palmentuin;ROTTERDAM;Nova College - locatie Palmentuin;Palmentuin 77-79, 3078 KJ ROTTERDAM;Palmentuin;77-79;3078 KJ;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
ROTTERDAM;ROTTERDAM;27RW00;De Passie;ROTTERDAM;de Passie Evangelische School voor Vmbo-tl, Havo, Atheneum, Gymnasium;Ulaanbaatarplein 6, 3072 JP ROTTERDAM;Ulaanbaatarplein;6;3072 JP;ROTTERDAM;Evangelisch
ROTTERDAM;ROTTERDAM;30WH00;Avicenna College;ROTTERDAM;Avicenna College voor vwo, havo, mavo en vbo;Schere 47, 3085 DT ROTTERDAM;Schere;47;3085 DT;ROTTERDAM;Islamitisch
ROZENDAAL;ROZENDAAL;02VN00;Het Rhedens;ROZENDAAL;Regionale Scholengemeenschap Het Rhedens voor Lyceum Havo Mavo Vbo;Kleiberglaan 1, 6891 DK ROZENDAAL;Kleiberglaan;1;6891 DK;ROZENDAAL;Algemeen bijzonder
RUCPHEN;RUCPHEN;04YX02;Munnikenheide College;RUCPHEN;Munnikenheide College voor MAVO VBO LWOO;Bosheidestraat 1, 4715 RD RUCPHEN;Bosheidestraat;1;4715 RD;RUCPHEN;Rooms-Katholiek
S GRAVENHAGE;'S-GRAVENHAGE;00HI03;SGM Dalton Vatel;S GRAVENHAGE;Scholengemeenschap Dalton Vatel Voor Lyceum HAVO MAVO VBO LWOO;Granaathorst 20, 2592 TD 'S-GRAVENHAGE;Granaathorst;20;2592 TD;'S-GRAVENHAGE;Algemeen bijzonder
S GRAVENHAGE;'S-GRAVENHAGE;00XK03;Veurs College 's-Gravendreef;S GRAVENHAGE;Veurs College - locatie 's-Gravendreef;Klaas Voskuildreef 135, 2492 JJ 'S-GRAVENHAGE;Klaas Voskuildreef;135;2492 JJ;'S-GRAVENHAGE;Samenwerking PC, RK
S GRAVENHAGE;'S-GRAVENHAGE;01OE06;Wellantcollege;S GRAVENHAGE;Wellantcollege;Madesteinweg 25, 2553 EC 'S-GRAVENHAGE;Madesteinweg;25;2553 EC;'S-GRAVENHAGE;Algemeen bijzonder
S GRAVENHAGE;'S-GRAVENHAGE;01OE07;Wellantcollege Westvliet;S GRAVENHAGE;Wellantcollege;Westvlietweg 42, 2491 EC 'S-GRAVENHAGE;Westvlietweg;42;2491 EC;'S-GRAVENHAGE;Algemeen bijzonder
S GRAVENHAGE;#N/B;01PU00;Aloysiuscollege;S GRAVENHAGE;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B
S GRAVENHAGE;'S-GRAVENHAGE;02DQ00;Chr Gymnasium Sorghvliet;S GRAVENHAGE;Christelijk Gymnasium Sorghvliet;Johan de Wittlaan 22, 2517 JR 'S-GRAVENHAGE;Johan de Wittlaan;22;2517 JR;'S-GRAVENHAGE;Protestants-Christelijk
S GRAVENHAGE;'S-GRAVENHAGE;02GJ00;Chr College De Populier;S GRAVENHAGE;Christelijk College De Populier;Populierstraat 109, 2565 MK 'S-GRAVENHAGE;Populierstraat;109;2565 MK;'S-GRAVENHAGE;Protestants-Christelijk
S GRAVENHAGE;'S-GRAVENHAGE;02GP04;Het Rijnlands Lyceum;S GRAVENHAGE;Het Rijnlands Lyceum vestiging School voorJong Talent;Juliana van Stolberglaan 1, 2595 CA 'S-GRAVENHAGE;Juliana van Stolberglaan;1;2595 CA;'S-GRAVENHAGE;Algemeen bijzonder
S GRAVENHAGE;'S-GRAVENHAGE;02US00;Haags Montessori Lyceum;S GRAVENHAGE;Scholengemeenschap Haags Montessori Lyceum voor Lyceum Havo Mavo Vbo;Nassau Bredastraat 5, 2596 AK 'S-GRAVENHAGE;Nassau Bredastraat;5;2596 AK;'S-GRAVENHAGE;Algemeen bijzonder
S GRAVENHAGE;'S-GRAVENHAGE;02UT00;Vrijzinnig-Christelijk Lyceum;S GRAVENHAGE;Vrijzinnig Christelijk Lyceum Scholengemeenschap voor Vwo en Havo;Van Stolkweg 35, 2585 JN 'S-GRAVENHAGE;Van Stolkweg;35;2585 JN;'S-GRAVENHAGE;Algemeen bijzonder
S GRAVENHAGE;'S-GRAVENHAGE;14TA00;Lyceum Zandvliet;S GRAVENHAGE;Christelijk Lyceum Zandvliet voor Lyceum en Havo;Bezuidenhoutseweg 40, 2594 AW 'S-GRAVENHAGE;Bezuidenhoutseweg;40;2594 AW;'S-GRAVENHAGE;Protestants-Christelijk
S GRAVENHAGE;'S-GRAVENHAGE;16TV00;De Vrije School;S GRAVENHAGE;Vrije School Zuid-Holland voor Atheneum Havo Mavo;Waalsdorperweg 12, 2597 JB 'S-GRAVENHAGE;Waalsdorperweg;12;2597 JB;'S-GRAVENHAGE;Antroposofisch
S GRAVENHAGE;'S-GRAVENHAGE;17HR00;Hofstad mavo;S GRAVENHAGE;Interconf Hofstadcollege voor LYC HAVO MAVO VBO LWOO;Albardastraat 25, 2555 XP 'S-GRAVENHAGE;Albardastraat;25;2555 XP;'S-GRAVENHAGE;Samenwerking PC, RK
S GRAVENHAGE;'S-GRAVENHAGE;17HR02;Hofstad lyceum;S GRAVENHAGE;Interconf Hofstadcollege voor LYC HAVO MAVO VBO LWOO;Colijnplein 9, 2555 HA 'S-GRAVENHAGE;Colijnplein;9;2555 HA;'S-GRAVENHAGE;Samenwerking PC, RK
S GRAVENHAGE;'S-GRAVENHAGE;17HR05;Heldring VMBO;S GRAVENHAGE;Interconf Hofstadcollege voor LYC HAVO MAVO VBO LWOO;Morsestraat 1, 2517 RZ 'S-GRAVENHAGE;Morsestraat;1;2517 RZ;'S-GRAVENHAGE;Samenwerking PC, RK
S GRAVENHAGE;'S-GRAVENHAGE;19ZP00;Maris College;S GRAVENHAGE;Maris College voor Mavo Vmbo Lwoo;Mgr. Nolenslaan 16, 2555 XZ 'S-GRAVENHAGE;Mgr. Nolenslaan;16;2555 XZ;'S-GRAVENHAGE;Openbaar
S GRAVENHAGE;'S-GRAVENHAGE;19ZP03;Maris College - Kijkduin;S GRAVENHAGE;Maris College voor Mavo Vmbo Lwoo - locatie Kijkduin;Landrestraat 150, 2551 CA 'S-GRAVENHAGE;Landrestraat;150;2551 CA;'S-GRAVENHAGE;Openbaar
S GRAVENHAGE;'S-GRAVENHAGE;19ZP04;Maris College - Statenkwartier;S GRAVENHAGE;Maris College voor Mavo Vmbo Lwoo - locatie Statenkwartier;Antonie Duyckstraat 126, 2582 TR 'S-GRAVENHAGE;Antonie Duyckstraat;126;2582 TR;'S-GRAVENHAGE;Openbaar
