BRINNUMMER;INSTELLINGSNAAM_VESTIGING;VESTIGINGSNUMMER;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL_LEERLINGEN;AANTAL_ZITTENBLIJVERS;AANTAL_AFSTROMERS;AANTAL_OPSTROMERS
08CU;Emmauscollege Rooms Katholieke Scholengemeenschap voor Vwo en Havo;00;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;1711;104;55;18
08LP;Isendoorn College voor Mavo Havo en Atheneum;00;WARNSVELD;0301;ZUTPHEN;Gelderland;1815;95;18;60
08SG;Chr VO Apeldoorn voor Gymn Ath Havo Mavo en Vmbo, vest. Christelijk Lyceum;06;APELDOORN;0200;APELDOORN;Gelderland;1309;86;61;76
08SG;Chr VO Apeldoorn voor Gymn Ath Havo Mavo en Vmbo, vest. Sprengeloo;01;APELDOORN;0200;APELDOORN;Gelderland;968;29;13;188
08SG;Christelijk Voortgezet Onderwijs Apeldoorn voor Gymn Ath Havo Mavo en Vmbo;00;APELDOORN;0200;APELDOORN;Gelderland;1370;90;75;56
08VU;Christelijke Scholengemeenschap Willem van Oranje voor ATH HAVO MAVO;00;OUD-BEIJERLAND;1963;HOEKSCHE WAARD;Zuid-Holland;1352;79;41;11
08VU;Christelijke Scholengemeenschap Willem van Oranje voor ATH HAVO MAVO;02;OUD-BEIJERLAND;1963;HOEKSCHE WAARD;Zuid-Holland;467;15;3;44
09VG;Onderwijsgroep Tilburg VMBO Reeshof, VMBO LWOO;00;TILBURG;0855;TILBURG;Noord-Brabant;351;7;4;8
10AN;Scala College voor Atheneum Havo Vmbo-Loot;00;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Zuid-Holland;1049;13;82;13
10AN;Scala College voor Atheneum Havo Vmbo-Loot;03;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Zuid-Holland;879;86;7;32
10AN;Scala College voor Atheneum Havo Vmbo-Loot;04;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Zuid-Holland;442;36;2;0
10LU;Regionale Scholengemeenschap 't Rijks School voor Lyceum Havo Mavo;00;BERGEN OP ZOOM;0748;BERGEN OP ZOOM;Noord-Brabant;2537;184;64;102
11NY;Regionale Scholengemeenschap Broklede voor Atheneum en Havo;00;BREUKELEN UT;1904;STICHTSE VECHT;Utrecht;1334;86;41;10
11UL;Agrarisch Opleidingen Centrum Edudelta Onderwijsgroep;03;BARENDRECHT;0489;BARENDRECHT;Zuid-Holland;300;16;12;5
11UL;Agrarisch Opleidingen Centrum Holland Zeeland;01;GOES;0664;GOES;Zeeland;178;8;6;0
11UL;Agrarisch Opleidingen Centrum Holland Zeeland;02;SOMMELSDIJK;1924;GOEREE-OVERFLAKKEE;Zuid-Holland;110;1;3;11
11ZH;Scholengemeenschap Maerlant College voor Lyceum Havo Mavo Vbo Lwoo;00;BRIELLE;0501;BRIELLE;Zuid-Holland;1235;77;74;34
12IR;Scholengemeenschap de Nieuwe Veste voor Lyceum Havo Mavo Vbo Lwoo;00;COEVORDEN;0109;COEVORDEN;Drenthe;1475;85;49;23
12IR;Scholengemeenschap de Nieuwe Veste voor Lyceum Havo Mavo Vbo Lwoo;05;HARDENBERG;0160;HARDENBERG;Overijssel;385;16;9;14
12IR;Scholengemeenschap de Nieuwe Veste voor Lyceum Havo Mavo Vbo Lwoo;11;HARDENBERG;0160;HARDENBERG;Overijssel;48;26;0;4
12RB;SG Helinium voor Atheneum Havo Mavo Vbo Lwoo;00;HELLEVOETSLUIS;0530;HELLEVOETSLUIS;Zuid-Holland;1456;79;36;25
