BRINNUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;GEMEENTENUMMER VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;TOTAAL LEERLINGEN;AANTAL ZITTENBLIJVERS;AANTAL AFSTROMERS;AANTAL OPSTROMERS;PERCENTAGE ZITTENBLIJVERS;PERCENTAGE AFSTROMERS;PERCENTAGE OPSTROMERS
01OE;4;Wellantcollege;GORINCHEM;512;GORINCHEM;Zuid-Holland;152;2;1;17;1,32;0,66;11,18
01OE;5;Wellantcollege;KLAASWAAL;611;CROMSTRIJEN;Zuid-Holland;385;12;1;28;3,12;0,26;7,27
01OE;6;Wellantcollege;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;273;8;2;0;2,93;0,73;0
01OE;7;Wellantcollege;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;576;14;2;38;2,43;0,35;6,6
01OE;11;Wellantcollege;DORDRECHT;505;DORDRECHT;Zuid-Holland;327;21;0;22;6,42;0;6,73
01OE;12;Wellantcollege;DORDRECHT;505;DORDRECHT;Zuid-Holland;675;29;0;38;4,3;0;5,63
01OE;13;Wellantcollege;BRIELLE;501;BRIELLE;Zuid-Holland;333;5;3;24;1,5;0,9;7,21
01OE;16;Wellantcollege;AMERSFOORT;307;AMERSFOORT;Utrecht;386;6;2;24;1,55;0,52;6,22
01OE;17;Wellantcollege;MONTFOORT;335;MONTFOORT;Utrecht;635;1;0;52;0,16;0;8,19
01OE;18;Wellantcollege;UTRECHT;344;UTRECHT;Utrecht;350;8;1;15;2,29;0,29;4,29
01OE;21;Wellantcollege;AALSMEER;358;AALSMEER;Noord-Holland;636;13;3;41;2,04;0,47;6,45
01OE;22;Wellantcollege;AMSTERDAM;363;AMSTERDAM;Noord-Holland;402;18;0;28;4,48;0;6,97
01OE;23;Wellantcollege;AMSTERDAM;363;AMSTERDAM;Noord-Holland;101;13;0;3;12,87;0;2,97
01OE;25;Wellantcollege;NAARDEN;1942;GOOISE MEREN;Noord-Holland;316;13;0;12;4,11;0;3,8
01OE;26;Wellantcollege;AALSMEER;358;AALSMEER;Noord-Holland;376;13;6;31;3,46;1,6;8,24
01OE;27;Wellantcollege;BOSKOOP;484;ALPHEN AAN DEN RIJN;Zuid-Holland;343;6;8;38;1,75;2,33;11,08
01OE;28;Wellantcollege;GOUDA;513;GOUDA;Zuid-Holland;390;6;3;30;1,54;0,77;7,69
01OE;30;Wellantcollege;ALPHEN AAN DEN RIJN;484;ALPHEN AAN DEN RIJN;Zuid-Holland;415;5;3;28;1,2;0,72;6,75
01OE;32;Wellantcollege;OTTOLAND;1927;MOLENWAARD;Zuid-Holland;480;5;2;34;1,04;0,42;7,08
01OE;33;Wellantcollege;RIJNSBURG;537;KATWIJK;Zuid-Holland;481;15;0;40;3,12;0;8,32
01OE;37;Wellantcollege;HOUTEN;321;HOUTEN;Utrecht;382;6;4;29;1,57;1,05;7,59
01PU;0;Aloysiuscollege Katholiek Scholengemeenschap voor Vwo Havo en Mavo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;567;80;10;35;14,11;1,76;6,17
01RL;0;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;APELDOORN;200;APELDOORN;Gelderland;1.204;84;29;22;6,98;2,41;1,83
01RL;1;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;RIJSSEN;1742;RIJSSEN-HOLTEN;Overijssel;600;9;33;12;1,5;5,5;2
01RL;2;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;UDDEL;200;APELDOORN;Gelderland;541;7;33;19;1,29;6,1;3,51
01RL;3;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;APELDOORN;200;APELDOORN;Gelderland;128;0;1;0;0;0,78;0
01TC;0;Scholengemeenschap voor Vwo Havo Mavo Het Hervormd Lyceum;AMSTERDAM;363;AMSTERDAM;Noord-Holland;906;75;48;64;8,28;5,3;7,06
01UH;0;Maartenscollege voor Lyceum Havo Mavo;HAREN GN;17;HAREN;Groningen;1.529;140;27;70;9,16;1,77;4,58
01VJ;0;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;DEVENTER;150;DEVENTER;Overijssel;981;33;35;98;3,36;3,57;9,99
01VJ;1;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;DEVENTER;150;DEVENTER;Overijssel;951;12;69;1;1,26;7,26;0,11
01VJ;3;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;DEVENTER;150;DEVENTER;Overijssel;1.311;59;64;199;4,5;4,88;15,18
01VJ;4;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;DEVENTER;150;DEVENTER;Overijssel;1.420;141;5;22;9,93;0,35;1,55
01VJ;5;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;DEVENTER;150;DEVENTER;Overijssel;330;9;0;4;2,73;0;1,21
01VJ;10;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;DEVENTER;150;DEVENTER;Overijssel;54;8;0;2;14,81;0;3,7
01VN;0;Canisius College Lyceum Havo Mavo Vbo Lwoo;NIJMEGEN;268;NIJMEGEN;Gelderland;1.459;96;12;240;6,58;0,82;16,45
01VN;3;Canisius College Lyceum Havo Mavo Vbo Lwoo locatie Pontem College;NIJMEGEN;268;NIJMEGEN;Gelderland;199;97;0;3;48,74;0;1,51
01VN;4;Canisius College Lyceum Havo Mavo Vbo Lwoo locatie Het Rijks VMBO-Campus;NIJMEGEN;268;NIJMEGEN;Gelderland;493;18;4;7;3,65;0,81;1,42
01WM;0;Burg Harmsma SGM voor VO Mavo Lhno en Lto;GORREDIJK;86;OPSTERLAND;Friesland;751;30;8;31;3,99;1,07;4,13
01XF;0;osg Willem Blaeu voor vwo havo mavo en vbo;ALKMAAR;361;ALKMAAR;Noord-Holland;981;55;5;98;5,61;0,51;9,99
01XF;1;osg Willem Blaeu voor vwo havo mavo en vbo, vestiging Van der Meij College;ALKMAAR;361;ALKMAAR;Noord-Holland;220;4;0;16;1,82;0;7,27
01XL;0;Strabrechtcollege Scholengemeenschap voor LYC HAVO MAVO;GELDROP;1771;GELDROP-MIERLO;Noord-Brabant;1.505;91;18;42;6,05;1,2;2,79
01XN;0;Almere College, Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO;KAMPEN;166;KAMPEN;Overijssel;576;47;34;9;8,16;5,9;1,56
01XN;1;Almere College Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO;DRONTEN;303;DRONTEN;Flevoland;1.208;21;15;77;1,74;1,24;6,37
01XN;2;Almere College Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO;KAMPEN;166;KAMPEN;Overijssel;172;1;8;4;0,58;4,65;2,33
01XN;7;Almere College, Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO;DRONTEN;303;DRONTEN;Flevoland;212;78;0;10;36,79;0;4,72
02AN;0;Fons Vitae Lyceum Rooms Katholiek Scholengemeenschap voor Vwo en Havo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;1.017;50;27;20;4,92;2,65;1,97
02AP;0;Het Amsterdams Lyceum;AMSTERDAM;363;AMSTERDAM;Noord-Holland;1.091;43;6;0;3,94;0,55;0
02AR;0;Scholengemeenschap voor Athenum en Havo Het Hervormd Lyceum Zuid;AMSTERDAM;363;AMSTERDAM;Noord-Holland;947;66;20;6;6,97;2,11;0,63
02CI;0;Christelijk Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Insula College;DORDRECHT;505;DORDRECHT;Zuid-Holland;1.169;76;52;12;6,5;4,45;1,03
02CI;1;Christelijk Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Insula;DORDRECHT;505;DORDRECHT;Zuid-Holland;523;11;5;43;2,1;0,96;8,22
02CI;2;Christelijk Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Insula;DORDRECHT;505;DORDRECHT;Zuid-Holland;778;39;10;61;5,01;1,29;7,84
02CR;0;Willem Lodewijkgymnasium;GRONINGEN;14;GRONINGEN;Groningen;721;34;5;0;4,72;0,69;0
02DC;0;Corlaer College;NIJKERK GLD;267;NIJKERK;Gelderland;1.020;44;17;34;4,31;1,67;3,33
02DC;3;Corlaer College;NIJKERK GLD;267;NIJKERK;Gelderland;895;31;77;32;3,46;8,6;3,58
02DF;0;Grotiuscollege Stedelijke Scholengemeenschap voor Lyceum Havo Mavo;HEERLEN;917;HEERLEN;Limburg;1.122;92;13;110;8,2;1,16;9,8
02DO;0;Protestants Scholengemeenschap Het Noordik voor Lyceum Havo Mavo Vbo Lwoo;ALMELO;141;ALMELO;Overijssel;1.591;97;104;59;6,1;6,54;3,71
02DO;1;Protestants Scholengemeenschap Het Noordik voor Lyceum Havo Mavo Vbo Lwoo;ALMELO;141;ALMELO;Overijssel;646;13;8;81;2,01;1,24;12,54
02DO;2;Protestants Scholengemeenschap Het Noordik voor Lyceum Havo Mavo Vbo Lwoo;VRIEZENVEEN;1700;TWENTERAND;Overijssel;649;13;14;47;2;2,16;7,24
02DO;3;Protestants Scholengemeenschap Het Noordik voor Lyceum Havo Mavo Vbo Lwoo;VROOMSHOOP;1700;TWENTERAND;Overijssel;541;16;30;14;2,96;5,55;2,59
02DQ;0;Christelijk Gymnasium Sorghvliet;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;750;30;3;0;4;0,4;0
02DW;0;Gymnasium Bernrode;HEESWIJK-DINTHER;1721;BERNHEZE;Noord-Brabant;666;42;11;0;6,31;1,65;0
02DZ;0;St Stanislascoll RK SGM v Lyc Havo Mavo Vbo Lwoo;DELFT;503;DELFT;Zuid-Holland;1.824;87;28;13;4,77;1,54;0,71
02DZ;2;St Stanislascoll RK SGM v Lyc Havo Mavo Vbo Lwoo;DELFT;503;DELFT;Zuid-Holland;630;9;11;18;1,43;1,75;2,86
02DZ;3;St Stanislascoll RK SGM v Lyc Havo Mavo Vbo Lwoo;PIJNACKER;1926;PIJNACKER-NOOTDORP;Zuid-Holland;1.310;73;61;61;5,57;4,66;4,66
02DZ;4;St Stanislascoll RK SGM v Lyc Havo Mavo Vbo Lwoo;DELFT;503;DELFT;Zuid-Holland;731;26;27;109;3,56;3,69;14,91
02DZ;6;St Stanislascoll RK SGM v Lyc Havo Mavo Vbo Lwoo;RIJSWIJK ZH;603;RIJSWIJK;Zuid-Holland;486;29;5;8;5,97;1,03;1,65
02EA;0;Chr SGM op Ref Grondsl voor Pro, Lwoo, Vmbo, Havo en Vwo;GOUDA;513;GOUDA;Zuid-Holland;2.934;70;79;62;2,39;2,69;2,11
02EA;2;Chr SGM op Ref Grondsl v Lyc Havo Mavo Vbo Lwoo;LEKKERKERK;1931;KRIMPENERWAARD;Zuid-Holland;568;4;24;28;0,7;4,23;4,93
02EA;3;Chr SGM op Ref Grondsl v Lyc Havo Mavo Vbo Lwoo;LEIDEN;546;LEIDEN;Zuid-Holland;457;4;19;45;0,88;4,16;9,85
02EB;0;Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo;ASSEN;106;ASSEN;Drenthe;1.387;94;81;15;6,78;5,84;1,08
02EB;4;Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo;ASSEN;106;ASSEN;Drenthe;772;37;28;48;4,79;3,63;6,22
02EB;6;Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo;ASSEN;106;ASSEN;Drenthe;58;26;0;3;44,83;0;5,17
02EB;7;Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo;BEILEN;1731;MIDDEN-DRENTHE;Drenthe;617;25;9;65;4,05;1,46;10,53
02EB;8;Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo;SMILDE;1731;MIDDEN-DRENTHE;Drenthe;105;41;0;7;39,05;0;6,67
02EK;0;Pius X College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;ALMELO;141;ALMELO;Overijssel;705;41;33;29;5,82;4,68;4,11
02EK;1;Pius X College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;ALMELO;141;ALMELO;Overijssel;441;13;17;19;2,95;3,85;4,31
02EK;2;Pius X College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;RIJSSEN;1742;RIJSSEN-HOLTEN;Overijssel;446;20;13;35;4,48;2,91;7,85
02EV;0;W De Zwijgercoll Chr SGM Vwo Havo op Chr Grndslg;BUSSUM;1942;GOOISE MEREN;Noord-Holland;1.076;99;28;13;9,2;2,6;1,21
02EX;0;Morgen College christelijke scholengemeenschap voor vmbo;HARDERWIJK;243;HARDERWIJK;Gelderland;617;52;8;12;8,43;1,3;1,94
02EX;4;Christelijke Scholengemeenschap voor VMBO Harderwijk;ZEEWOLDE;50;ZEEWOLDE;Flevoland;57;3;0;3;5,26;0;5,26
02EX;5;Christelijke Scholengemeenschap voor VMBO Harderwijk;HARDERWIJK;243;HARDERWIJK;Gelderland;287;5;25;16;1,74;8,71;5,57
02FB;0;Christelijk College Nassau-Veluwe;HARDERWIJK;243;HARDERWIJK;Gelderland;1.246;91;32;15;7,3;2,57;1,2
02FC;0;PC SGM Ulenhof College v Ath Havo Mavo Vbo Lwoo;DOETINCHEM;222;DOETINCHEM;Gelderland;1.566;111;34;45;7,09;2,17;2,87
02FC;4;PC SGM Ulenhof College v Ath Havo Mavo Vbo Lwoo;VORDEN;1876;BRONCKHORST;Gelderland;303;5;3;22;1,65;0,99;7,26
02FC;7;PC SGM Ulenhof College v Ath Havo Mavo Vbo Lwoo;VORDEN;1876;BRONCKHORST;Gelderland;147;4;6;2;2,72;4,08;1,36
02FY;0;OMO Scholengroep Bergen op Zoom e.o. voor Lyceum Havo Mavo Vbo Lwoo;BERGEN OP ZOOM;748;BERGEN OP ZOOM;Noord-Brabant;688;41;34;7;5,96;4,94;1,02
02FY;1;"OMO Scholengroep Bergen op Zoom e.o.; ZuidWestHoek College";OSSENDRECHT;873;WOENSDRECHT;Noord-Brabant;533;7;27;17;1,31;5,07;3,19
02FY;2;"OMO Scholengroep Bergen op Zoom e.o.; 't Ravelijn";STEENBERGEN NB;851;STEENBERGEN;Noord-Brabant;579;7;8;5;1,21;1,38;0,86
02FY;4;"OMO Scholengroep Bergen op Zoom e.o.; ZoomMAVO";BERGEN OP ZOOM;748;BERGEN OP ZOOM;Noord-Brabant;279;26;5;10;9,32;1,79;3,58
02GF;0;Mgr Frencken College voor Atheneum en Havo;OOSTERHOUT NB;826;OOSTERHOUT;Noord-Brabant;1.420;99;35;6;6,97;2,46;0,42
02GJ;0;Christelijk College De Populier;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;853;24;27;36;2,81;3,17;4,22
02GJ;1;Christelijk College De Populier;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;275;10;17;0;3,64;6,18;0
02GN;0;SGM Kennemer Lyc Bz Sch Alg Grondsl v Vwo Havo;OVERVEEN;377;BLOEMENDAAL;Noord-Holland;1.005;87;33;14;8,66;3,28;1,39
02GP;0;Het Rijnlands Lyceum Scholengemeenschap voor Havo VWO;WASSENAAR;629;WASSENAAR;Zuid-Holland;774;39;29;10;5,04;3,75;1,29
02GP;4;Het Rijnlands Lyceum vestiging School voorJong Talent;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;144;13;2;2;9,03;1,39;1,39
02GP;5;Het Rijnlands Lyceum vestiging International School of The Haque;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;999;19;0;107;1,9;0;10,71
02GP;6;Het Rijnlands Lyceum Scholengemeenschap voor Mavo Havo Lyceum;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;141;2;0;0;1,42;0;0
02GS;0;Scholengemeenschap Montessori Lyceum Rotterdam voor Gymnasium Atheneum en Havo;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;980;75;21;14;7,65;2,14;1,43
02HI;0;Steenspil  VMBO;HALSTEREN;748;BERGEN OP ZOOM;Noord-Brabant;650;14;3;5;2,15;0,46;0,77
02HI;6;Steenspil VMBO, locatie Pomona;BERGEN OP ZOOM;748;BERGEN OP ZOOM;Noord-Brabant;141;2;0;3;1,42;0;2,13
02HI;8;Internationale Schakelklas Bergen op Zoom;BERGEN OP ZOOM;748;BERGEN OP ZOOM;Noord-Brabant;128;57;0;2;44,53;0;1,56
02IB;0;DaCapocollege Rijksweg Zuid voor Mavo Vbo Lwoo;SITTARD;1883;SITTARD-GELEEN;Limburg;266;11;1;4;4,14;0,38;1,5
02IB;2;DaCapocollege Locatie Rijksweg Zuid voor Mavo Vbo Lwoo;SITTARD;1883;SITTARD-GELEEN;Limburg;280;22;0;14;7,86;0;5
02IB;3;DaCapo College Locatie Rijksweg Zuid voor Mavo Vbo Lwoo;GELEEN;1883;SITTARD-GELEEN;Limburg;92;26;0;0;28,26;0;0
02IB;5;DaCapocollege Rijksweg Zuid voor Mavo Vbo Lwoo;GELEEN;1883;SITTARD-GELEEN;Limburg;75;23;0;2;30,67;0;2,67
02IC;0;Edudelta College Middelharnis locatie Schoolstraat afd. Techniek en Economie;MIDDELHARNIS;1924;GOEREE-OVERFLAKKEE;Zuid-Holland;466;5;10;21;1,07;2,15;4,51
02IS;0;Vakcollege Tilburg, sectoren Zorg & Welzijn en Techniek;TILBURG;855;TILBURG;Noord-Brabant;662;20;17;25;3,02;2,57;3,78
02IS;1;Vakcollege Tilburg, sectoren Zorg & Welzijn en Techniek;TILBURG;855;TILBURG;Noord-Brabant;298;83;0;20;27,85;0;6,71
02JG;0;Emelwerda College Christelijke Scholengemeenschap voor Lwoo Mavo Havo Vwo;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;1.062;76;56;17;7,16;5,27;1,6
02JG;4;Emelwerda College Christelijke Scholengemeenschap voor Lwoo Mavo Havo Vwo;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;327;12;5;5;3,67;1,53;1,53
02JG;5;Emelwerda College Christelijke Scholengemeenschap voor Lwoo Mavo Havo Vwo;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;228;15;12;27;6,58;5,26;11,84
02KB;0;Teylingen College voor Gymnasium Atheneum Havo Mavo Vbo Lwoo;VOORHOUT;1525;TEYLINGEN;Zuid-Holland;804;9;2;16;1,12;0,25;1,99
02KB;1;Teylingen College voor Atheneum Havo Mavo Vbo Lwoo;NOORDWIJKERHOUT;576;NOORDWIJKERHOUT;Zuid-Holland;1.649;89;63;220;5,4;3,82;13,34
02KB;2;Teylingen College voor Atheneum Havo Mavo Vbo Lwoo;OEGSTGEEST;579;OEGSTGEEST;Zuid-Holland;608;35;14;65;5,76;2,3;10,69
02KM;0;Haarlem College Scholengemeenschap voor Mavo Vbo Lwoo;HAARLEM;392;HAARLEM;Noord-Holland;919;35;18;26;3,81;1,96;2,83
02KR;0;St Bonifatius Mavo;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;510;11;6;27;2,16;1,18;5,29
02LB;0;Openbare Scholengemeenschap Nieuw Zuid voor Lyceum Havo Mavo Vbo Lwoo;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;541;87;1;4;16,08;0,18;0,74
02LB;1;Openbare Scholengemeenschap Nieuw Zuid voor Lyceum Havo Mavo Vbo Lwoo;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;152;37;0;0;24,34;0;0
02LB;8;Openbare Scholengemeenschap Nieuw Zuid voor Lyceum Havo Mavo Vbo en Lwoo;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;604;56;5;89;9,27;0,83;14,74
02LG;0;Carmelcollege Gouda voor tto gym ath havo mavo vmbo lwoo eoa;GOUDA;513;GOUDA;Zuid-Holland;493;100;12;11;20,28;2,43;2,23
02LG;6;Carmelcollege Gouda voor tto gym ath havo mavo vmbo lwoo eoa;GOUDA;513;GOUDA;Zuid-Holland;442;31;15;23;7,01;3,39;5,2
02ME;0;Rooms Katholieke Scholengemeenschap Tabor voor Lyceum Havo Mavo Vbo Lwoo;HOORN NH;405;HOORN;Noord-Holland;1.409;37;11;30;2,63;0,78;2,13
02ME;1;Rooms Katholieke Scholengemeenschap Tabor voor Lyceum Havo Mavo Vbo Lwoo;HOORN NH;405;HOORN;Noord-Holland;1.524;102;45;16;6,69;2,95;1,05
02ME;2;Rooms Katholieke Scholengemeenschap Tabor voor Lyceum Havo Mavo Vbo Lwoo;HOORN NH;405;HOORN;Noord-Holland;1.620;74;65;56;4,57;4,01;3,46
02MF;0;Christelijke Scholengemeenschap voor VMBO en Praktijkonderwijs;VEENENDAAL;345;VEENENDAAL;Utrecht;1.052;14;45;59;1,33;4,28;5,61
02MU;0;Sint Maartenscollege Scholengemeenschap voor Vwo Havo en Mavo;VOORBURG;1916;LEIDSCHENDAM-VOORBURG;Zuid-Holland;1.292;49;66;53;3,79;5,11;4,1
02MY;0;DaCapo College Milaanstraat;SITTARD;1883;SITTARD-GELEEN;Limburg;179;2;5;0;1,12;2,79;0
02MY;1;DaCapo College President Kennedysingel;SITTARD;1883;SITTARD-GELEEN;Limburg;231;17;0;6;7,36;0;2,6
02MY;2;Da Capo College Broeksittarderweg;SITTARD;1883;SITTARD-GELEEN;Limburg;84;19;0;0;22,62;0;0
02NZ;0;Ludger College voor Lyceum Havo Mavo Vbo Lwoo;DOETINCHEM;222;DOETINCHEM;Gelderland;1.265;87;31;49;6,88;2,45;3,87
02NZ;1;Ludger College voor Lyceum Havo Mavo Vbo Lwoo;DOETINCHEM;222;DOETINCHEM;Gelderland;1.263;73;53;42;5,78;4,2;3,33
02NZ;9;Ludger College voor Lyceum Havo Mavo Vbo Lwoo;DOETINCHEM;222;DOETINCHEM;Gelderland;689;14;0;214;2,03;0;31,06
02PA;0;Stichting Media Amsterdam;AMSTERDAM;363;AMSTERDAM;Noord-Holland;299;8;11;19;2,68;3,68;6,35
02QN;0;Rooms Katholieke Scholengemeenschap Marianum voor Lyc Havo Mavo Vbo Lwoo;GROENLO;1586;OOST GELRE;Gelderland;1.020;76;46;13;7,45;4,51;1,27
02QN;2;Rooms Katholieke Scholengemeenschap Marianum voor Lyc Havo Mavo Vbo Lwoo;LICHTENVOORDE;1586;OOST GELRE;Gelderland;848;23;36;30;2,71;4,25;3,54
02QO;0;Sint Oelbert Gymnasium;OOSTERHOUT NB;826;OOSTERHOUT;Noord-Brabant;756;49;8;0;6,48;1,06;0
02QP;0;St Willibrord Gymnasium;DEURNE;762;DEURNE;Noord-Brabant;443;30;7;0;6,77;1,58;0
02QQ;0;Notre Dame Des Anges Havo;UBBERGEN;1945;BERG EN DAL;Gelderland;586;44;8;15;7,51;1,37;2,56
02QT;0;Maurick College Scholengemeenschap voor vmbo, havo, atheneum en gymnasium;VUGHT;865;VUGHT;Noord-Brabant;1.699;106;35;87;6,24;2,06;5,12
02QX;0;Petrus Canisius Colleg Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;ALKMAAR;361;ALKMAAR;Noord-Holland;1.052;85;29;5;8,08;2,76;0,48
02QX;1;Petrus Canisius Colleg Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;ALKMAAR;361;ALKMAAR;Noord-Holland;582;33;7;46;5,67;1,2;7,9
02QX;3;Petrus Canisius Colleg Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;ALKMAAR;361;ALKMAAR;Noord-Holland;702;29;8;37;4,13;1,14;5,27
02QX;6;Petrus Canisius Colleg Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;BERGEN NH;373;BERGEN NH;Noord-Holland;190;3;13;45;1,58;6,84;23,68
02QX;7;Petrus Canisius Colleg Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;HEILOO;399;HEILOO;Noord-Holland;331;1;5;70;0,3;1,51;21,15
02QZ;0;Keizer Karel College Vwo Havo;AMSTELVEEN;362;AMSTELVEEN;Noord-Holland;1.728;112;32;10;6,48;1,85;0,58
02RA;0;Katholieke Scholengemeenschap Veluws College voor Gymn Ath Havo Mavo en Vmbo;APELDOORN;200;APELDOORN;Gelderland;1.592;115;27;10;7,22;1,7;0,63
02RA;1;Katholieke SGM Veluws College voor Gymn Ath Havo Mavo en Vmbo vest Cortenbosch;APELDOORN;200;APELDOORN;Gelderland;877;26;8;13;2,96;0,91;1,48
02RA;2;Katholieke SGM Veluws College voor Gymn Ath Havo Mavo en Vmbo vest Mheenpark;APELDOORN;200;APELDOORN;Gelderland;715;41;14;36;5,73;1,96;5,03
02RA;3;Katholieke SGM Veluws College voor Gymn Ath Havo Mavo en Vmbo oec vst Twello;TWELLO;285;VOORST;Gelderland;312;13;17;34;4,17;5,45;10,9
02RA;4;Katholieke SGM Veluws College voor Gymn Ath Havo Mavo en Vmbo vest Cortenbosch;APELDOORN;200;APELDOORN;Gelderland;130;0;0;7;0;0;5,38
02RA;5;Katholieke SGM Veluws College voor Gymn Ath Havo Mavo en Vmbo vest Mheenpark;APELDOORN;200;APELDOORN;Gelderland;265;1;4;52;0,38;1,51;19,62
02SB;0;Sancta Maria Lyceum voor Havo, Atheneum en Gymnasium;HAARLEM;392;HAARLEM;Noord-Holland;1.612;158;59;13;9,8;3,66;0,81
02ST;0;Kandinsky College voor Lyceum Havo Mavo Vbo Lwoo;NIJMEGEN;268;NIJMEGEN;Gelderland;1.524;89;34;73;5,84;2,23;4,79
02ST;3;Kandinsky College voor Lyc Havo Mavo Vbo Lwoo locatie Het Rijks VMBO Campus;NIJMEGEN;268;NIJMEGEN;Gelderland;461;44;7;9;9,54;1,52;1,95
02ST;4;Kandinsky College voor Lyc Havo Mavo Vbo Lwoo;MOLENHOEK LB;944;MOOK EN MIDDELAAR;Limburg;271;8;1;36;2,95;0,37;13,28
02ST;5;Jorismavo;NIJMEGEN;268;NIJMEGEN;Gelderland;130;5;0;8;3,85;0;6,15
02SY;0;Scholengemeenschap voor Vwo Dorenweerd College;DOORWERTH;274;RENKUM;Gelderland;1.183;318;10;192;26,88;0,85;16,23
02TC;0;Christiaan Huygens College voor Lyceum Havo Mavo Vbo Lwoo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1.076;38;31;4;3,53;2,88;0,37
02TC;3;Christiaan Huygens College voor Lyceum Havo Mavo Vbo Lwoo locatie Olympia;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;499;32;16;17;6,41;3,21;3,41
02TC;4;Christiaan Huygens Coll. voor Lyc Havo Mavo Vbo Lwoo loc. Frits Philips lyc-mavo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;798;60;47;50;7,52;5,89;6,27
02TD;0;Jan Arentsz Christelijke Scholengemeenschap voor Lyceum Havo Mavo Vbo;ALKMAAR;361;ALKMAAR;Noord-Holland;1.815;132;45;72;7,27;2,48;3,97
02TD;3;CSG Jan Arentsz, SGM voor Lyceum Havo Mavo Vbo,  vestiging Van der Meij College;ALKMAAR;361;ALKMAAR;Noord-Holland;104;4;1;3;3,85;0,96;2,88
02TD;4;Jan Arentsz Christelijke Scholengemeenschap voor Lyceum Havo Mavo Vbo;ZUID-SCHARWOUDE;416;LANGEDIJK;Noord-Holland;395;8;23;27;2,03;5,82;6,84
02TE;0;H Wesselink College Christelijke Scholengemeenschap voor Vwo Havo Mavo;AMSTELVEEN;362;AMSTELVEEN;Noord-Holland;1.655;76;24;149;4,59;1,45;9
02TG;0;Het Baarnsch Lyceum;BAARN;308;BAARN;Utrecht;1.002;35;7;14;3,49;0,7;1,4
